input,output,expected_output
"Find the case about Miranda rights","Miranda v. Arizona, 384 U.S. 436 (1966)","Miranda v. Arizona, 384 U.S. 436 (1966)"
"Cite the Brown education case","Brown v. Board of Education, 347 U.S. 483 (1954)","Brown v. Board of Education, 347 U.S. 483 (1954)"
"Reference Marbury v Madison","Marbury v. Madison, 5 U.S. 137 (1803)","Marbury v. Madison, 5 U.S. (1 Cranch) 137 (1803)"
"Cite Roe v Wade","Roe v. Wade, 410 U.S. 113 (1973).","Roe v. Wade, 410 U.S. 113 (1973)"
"Find Citizens United","Citizens United v. FEC, 558 U.S. 310 (2010)","Citizens United v. Federal Election Commission, 558 U.S. 310 (2010)"
"Cite the Loving case","Loving v. Virginia, 388 U.S. 1 (1967)","Loving v. Virginia, 388 U.S. 1 (1967)"
"Reference Plessy","Plessy v Ferguson, 163 U.S. 537 (1896)","Plessy v. Ferguson, 163 U.S. 537 (1896)"
"Find Gideon case","Gideon v. Wainwright, 372 US 335 (1963)","Gideon v. Wainwright, 372 U.S. 335 (1963)"
"Cite Bush v Gore","Bush v. Gore, 531 U.S. 98 (2000)","Bush v. Gore, 531 U.S. 98 (2000)"
"Find Tinker case","Tinker v Des Moines, 393 U.S. 503 (1969)","Tinker v. Des Moines Independent Community School District, 393 U.S. 503 (1969)"
"Reference Korematsu","Korematsu v. United States, 323 U.S. 214 (1944)","Korematsu v. United States, 323 U.S. 214 (1944)"
"Cite Griswold","Griswold v. Connecticut, 381 U.S. 479 (1965)","Griswold v. Connecticut, 381 U.S. 479 (1965)"
"Find Dred Scott","Dred Scott v. Sandford, 60 U.S. 393 (1857)","Scott v. Sandford, 60 U.S. (19 How.) 393 (1857)"
"Reference McCulloch","McCulloch v. Maryland, 17 U.S. 316 (1819)","McCulloch v. Maryland, 17 U.S. (4 Wheat.) 316 (1819)"
"Cite New York Times","New York Times Co. v. Sullivan, 376 U.S. 254 (1964)","New York Times Co. v. Sullivan, 376 U.S. 254 (1964)"
"Find Obergefell","Obergefell v. Hodges, 576 U.S. 644 (2015)","Obergefell v. Hodges, 576 U.S. 644 (2015)"
